subset,subset_name,family,image,miou,dice,pixel_acc,model_id,display_name,group,category,architecture,encoder,input_mode,params_m,train_seconds
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (4).jpg,0.7605472957887411,0.8476212826499441,0.9714084201388888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (5).jpg,0.6139835481901774,0.7162129592627142,0.9180501302083334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (6).jpg,0.7338404795903811,0.8255676858563653,0.9664442274305556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (7).jpg,0.7250946700204717,0.8164295912619262,0.9725477430555556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (8).jpg,0.733001663971892,0.8218326495149595,0.981201171875,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (9).jpg,0.7529244248851557,0.8398471479303298,0.9789496527777778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (10).jpg,0.7305532606150082,0.8204053555558182,0.9773491753472222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (11).jpg,0.7047336844923728,0.7976105974646485,0.9710015190972222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (12).jpg,0.7277099655963993,0.8181539905766173,0.9757215711805556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (13).jpg,0.7267172927170893,0.8159079728469285,0.9820149739583334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (14).jpg,0.7338829077300998,0.8233952830881295,0.9774576822916666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (15).jpg,0.8058390194787879,0.884805163272221,0.9591200086805556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (16).jpg,0.8238114564932126,0.8966433938732322,0.9687228732638888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (17).jpg,0.6035355441904442,0.7085685804084617,0.9043782552083334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (18).jpg,0.7207962731131584,0.8136888410694298,0.9668782552083334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (19).jpg,0.7588875135474494,0.8453887884267631,0.9762912326388888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (20).jpg,0.7301730697972869,0.8209061404582041,0.9732530381944444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (21).jpg,0.7465184189075553,0.8342170019054236,0.9794108072916666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
